publication_date,publication_date,count,full view,limited view,full view accessed,limited view attempted
1800.0,1800.0,6303,6303,,4552,
1801.0,1801.0,5045,5044,1.0,3696,
1802.0,1802.0,4917,4917,,3535,
1803.0,1803.0,5526,5526,,3918,
1804.0,1804.0,6044,6044,,4276,
1805.0,1805.0,5275,5275,,3859,
1806.0,1806.0,5422,5421,1.0,3981,
1807.0,1807.0,5243,5243,,3938,
1808.0,1808.0,6495,6491,4.0,4547,3.0
1809.0,1809.0,5587,5587,,4131,
1810.0,1810.0,5923,5923,,4220,
1811.0,1811.0,6130,6129,1.0,4416,
1812.0,1812.0,5528,5528,,4089,
1813.0,1813.0,5767,5765,2.0,4095,1.0
1814.0,1814.0,6035,6035,,4168,
1815.0,1815.0,6218,6218,,4493,
1816.0,1816.0,6571,6570,1.0,4731,
1817.0,1817.0,7113,7113,,5003,
1818.0,1818.0,7883,7883,,5533,
1819.0,1819.0,9146,9146,,6049,
1820.0,1820.0,10086,10086,,6656,
1821.0,1821.0,9483,9482,1.0,6617,1.0
1822.0,1822.0,10391,10389,2.0,6997,1.0
1823.0,1823.0,10418,10417,1.0,7071,
1824.0,1824.0,10661,10661,,7339,
1825.0,1825.0,12325,12323,2.0,8537,2.0
1826.0,1826.0,11433,11429,4.0,8037,1.0
1827.0,1827.0,11304,11301,3.0,7834,1.0
1828.0,1828.0,12500,12498,2.0,8474,
1829.0,1829.0,13464,13462,2.0,9134,2.0
1830.0,1830.0,14551,14551,,10185,
1831.0,1831.0,11466,11465,1.0,8119,
1832.0,1832.0,12828,12827,1.0,9355,
1833.0,1833.0,13131,13131,,9780,
1834.0,1834.0,13724,13724,,9691,
1835.0,1835.0,14741,14736,5.0,10458,
1836.0,1836.0,14350,14349,1.0,10529,
1837.0,1837.0,14465,14463,2.0,10574,
1838.0,1838.0,14799,14799,,10755,
1839.0,1839.0,15981,15981,,11572,
1840.0,1840.0,15989,15985,4.0,11590,
1841.0,1841.0,15113,15111,2.0,10993,1.0
1842.0,1842.0,15295,15291,4.0,11045,1.0
1843.0,1843.0,16062,16059,3.0,11710,1.0
1844.0,1844.0,18205,18204,1.0,13136,1.0
1845.0,1845.0,18095,18093,2.0,13492,2.0
1846.0,1846.0,19123,19120,3.0,13818,2.0
1847.0,1847.0,18492,18490,2.0,13286,2.0
1848.0,1848.0,18023,18018,5.0,12964,2.0
1849.0,1849.0,18275,18272,3.0,13019,3.0
1850.0,1850.0,19635,19633,2.0,14507,1.0
1851.0,1851.0,20835,20833,2.0,14810,2.0
1852.0,1852.0,21305,21301,4.0,15517,2.0
1853.0,1853.0,23726,23722,4.0,17091,1.0
1854.0,1854.0,23569,23566,3.0,16804,2.0
1855.0,1855.0,23031,23030,1.0,16311,
1856.0,1856.0,24874,24869,5.0,18050,1.0
1857.0,1857.0,24556,24551,5.0,17468,2.0
1858.0,1858.0,23740,23737,3.0,16730,2.0
1859.0,1859.0,26008,26002,6.0,18584,3.0
1860.0,1860.0,27060,27057,3.0,19539,3.0
1861.0,1861.0,24566,24560,6.0,17828,2.0
1862.0,1862.0,23838,23833,5.0,17175,2.0
1863.0,1863.0,24378,24374,4.0,17620,2.0
1864.0,1864.0,27482,27478,4.0,19791,3.0
1865.0,1865.0,27178,27175,3.0,19868,2.0
1866.0,1866.0,29769,29765,4.0,21115,2.0
1867.0,1867.0,27884,27881,3.0,20183,2.0
1868.0,1868.0,29201,29199,2.0,21053,2.0
1869.0,1869.0,34859,34856,3.0,23221,2.0
1870.0,1870.0,27856,27853,3.0,21044,1.0
1871.0,1871.0,27208,27204,4.0,20261,2.0
1872.0,1872.0,31303,31298,5.0,22481,1.0
1873.0,1873.0,30570,30565,5.0,21201,
1874.0,1874.0,32142,32139,3.0,22261,2.0
1875.0,1875.0,32289,32282,7.0,22006,4.0
1876.0,1876.0,34339,34334,5.0,21280,2.0
1877.0,1877.0,33775,33765,10.0,19793,5.0
1878.0,1878.0,34103,34100,3.0,19924,2.0
1879.0,1879.0,37866,37860,6.0,22591,2.0
1880.0,1880.0,38523,38513,10.0,23029,7.0
1881.0,1881.0,38348,38337,11.0,22870,7.0
1882.0,1882.0,40908,40894,14.0,23887,7.0
1883.0,1883.0,42158,42151,7.0,25336,2.0
1884.0,1884.0,44852,44843,9.0,27379,6.0
1885.0,1885.0,43850,43846,4.0,26011,1.0
1886.0,1886.0,45508,45492,16.0,27123,7.0
1887.0,1887.0,47976,47967,9.0,28425,6.0
1888.0,1888.0,49236,49219,17.0,29508,7.0
1889.0,1889.0,52020,52010,10.0,31724,5.0
1890.0,1890.0,52406,52397,9.0,31780,4.0
1891.0,1891.0,52919,52902,17.0,31635,8.0
1892.0,1892.0,56941,56921,20.0,33944,12.0
1893.0,1893.0,58273,58259,14.0,35021,8.0
1894.0,1894.0,58269,58256,13.0,34408,9.0
1895.0,1895.0,61081,61068,13.0,36507,7.0
1896.0,1896.0,63146,63129,17.0,37808,9.0
1897.0,1897.0,63518,63501,17.0,38513,6.0
1898.0,1898.0,66979,66959,20.0,40118,7.0
1899.0,1899.0,83804,83782,22.0,51444,12.0
1900.0,1900.0,81911,81880,31.0,50087,10.0
1901.0,1901.0,75381,75360,21.0,45416,8.0
1902.0,1902.0,80093,80074,19.0,47934,14.0
1903.0,1903.0,80773,80751,22.0,48590,14.0
1904.0,1904.0,84577,84546,31.0,50695,13.0
1905.0,1905.0,85466,85453,13.0,51637,7.0
1906.0,1906.0,88875,88850,25.0,53173,13.0
1907.0,1907.0,91273,91251,22.0,54894,9.0
1908.0,1908.0,96813,96777,36.0,58047,18.0
1909.0,1909.0,89546,89459,87.0,56462,48.0
1910.0,1910.0,90567,90433,134.0,57359,74.0
1911.0,1911.0,91296,91207,89.0,56905,46.0
1912.0,1912.0,96956,96870,86.0,60759,35.0
1913.0,1913.0,96116,96024,92.0,60875,48.0
1914.0,1914.0,94928,94830,98.0,60855,46.0
1915.0,1915.0,81676,81601,75.0,53380,34.0
1916.0,1916.0,82659,82601,58.0,53588,28.0
1917.0,1917.0,80684,80629,55.0,52824,24.0
1918.0,1918.0,77521,77455,66.0,49586,32.0
1919.0,1919.0,84058,83969,89.0,55175,39.0
1920.0,1920.0,89954,89839,115.0,59862,58.0
