Top 2000 HathiTrust Closed Titles, May 2014-May 2017


Title |  Attempted Uses | Publication Date
------------------------------------------
The competent manager : a model for effective performance / | 12226 views | 1982
Objects of daily use, with over 1800 figures from University college, London, | 12150 views | 1927
My experiences in the world war, | 10976 views | 1931
Catalogue of Alexandrian coins, | 9132 views | 1933
The regimental history of the 3rd Queen Alexandra's own Gurkha rifles from April 1815 to December 1927, | 9088 views | 1929
American archival studies : readings in theory and practice / | 8834 views | 2000
The Michigan daily. | 8414 views | 1969
My experiences in the world war, | 8039 views | 1931
Kasaita / | 6855 views | 9999
The Scots guards in the great war, 1914-1918, | 6762 views | 1925
From Mons to the first battle of Ypres, | 6296 views | 1933
The theory of spherical and ellipsoidal harmonics, | 5528 views | 1931
Ancient weights and measures, | 4968 views | 1926
Prehistoric settlement patterns in the Virú Valley, Perú. | 4879 views | 1953
Calendar of inquisitions miscellaneous, Chancery, preserved in the Public Record Office, | 4838 views | 9999
Osteology of the reptiles | 4708 views | 1956
British documents on the origins of the war, 1898-1914. | 4632 views | 9999
Feudal documents from the abbey of Bury St. Edmunds, | 4558 views | 1932
Purchasing handbook; standard reference book on purchasing policies, practices, procedures, contracts, and forms. | 4026 views | 1958
Rufaida ko mufida? / | 4009 views | 9999
Twenty years of my life, 1867-1887, | 3774 views | 1925
West Side story, a novelization. | 3749 views | 1961
Letters of Fanny Brawne to Fanny Keats, 1820-1824. | 3673 views | 1937
The winding road unfolds | 3626 views | 1937
The defence of Piedmont, 1742-1748; a prelude to the study of Napoleon, | 3479 views | 1927
Calendar of the patent rolls preserved in the Public Record Office: Elizabeth [I] | 3423 views | 9999
Death in a little town, | 3374 views | 1935
Modern architecture, | 3309 views | 1929
The co-operative directory : a complete record of co-operative societies of al types -- their branches, membership, departments, and addresses / | 3280 views | 1940
The tragedy of Mesopotamia / | 3261 views | 1938
The correspondence of King George the Third from 1760 to December 1783, | 3258 views | 1928
Chi è? Dizionario degli Italiani d'oggi. | 3138 views | 1928
The history of the 16th battalion (the Canadian Scottish) Canadian expeditionary force in the great war, 1914-1919 | 3126 views | 1932
Investigation of Nazi propaganda activities and investigation of certain other propaganda activities. Public hearings before the Special committee on un-American activities, House of representatives, Seventy-third Congress, second session. | 3093 views | 1934
Calendar of inquisitions miscellaneous, Chancery, preserved in the Public Record Office, | 3040 views | 9999
The Assyrian herbal, | 2975 views | 1924
Register, 1841-1927. | 2967 views | 1928
The Great ideas; a syntopicon of Great books of the Western World. | 2886 views | 1955
The correspondence of King George the Third from 1760 to December 1783, | 2856 views | 1928
The McElmurry genealogy : a genealogical and biographical record of the descendants of Duncan McElmurry, the immigrant from Northern Ireland to Lambton County, Ontario, Canada, circa 1842 / | 2820 views | 1990
Twelve against the gods; the story of adventure. | 2698 views | 1930
The Great ideas; a syntopicon of Great books of the Western World. | 2683 views | 1955
Linear circuits. With the editorial assistance of Martin W. Essigman. | 2625 views | 9999
The elements of aerofoil and airscrew theory, | 2595 views | 1943
The general properties of matter / | 2595 views | 1933
The funeral furniture of Egypt, | 2573 views | 1937
Chi è? Dizionario degli Italiani d'oggi. | 2572 views | 1948
Emily Hobhouse; a memoir | 2558 views | 1929
My experiences in the world war, | 2523 views | 1931
$106,000 blood money / | 2466 views | 1943
Chi è? Dizionario degli Italiani d'oggi. | 2441 views | 1936
Records of the Templars in England in the twelfth century; the Inquest of 1185, with illustrative charters and documents, | 2437 views | 1935
Boletín de artes visuales. | 2416 views | 1965
The art and craft of hairdressing; a standard and complete guide to the technique of modern hairdressing, manicure, massage and beauty culture, | 2265 views | 1931
Chi è? Dizionario degli Italiani d'oggi. | 2259 views | 1931
Sálitikán ng̃ wikag̃ pag̃barsâ, | 2255 views | 1940
Księga Polaków uczestników Rewolucji Październikowej 1917-1920; biografie. | 2240 views | 1967
Primitive society and its vital statistics / | 2216 views | 1934
The register of baptisms, marriages & burials of the parish of Colyton, Devon, 1538-1837 ... | 2215 views | 1928
Tomb tile pictures of ancient China; an archaeological study of pottery tiles from tombs of western Honan, dating about the third century B.C., | 2214 views | 1939
Adventures on the western front, August, 1914-June, 1915, | 2209 views | 1925
Tobacco Coast : a maritime history of Chesapeake Bay in the colonial era / | 2136 views | 1953
Erie County, New York obituaries, as found in the files of the  Buffalo and Erie County Historical Society / | 2087 views | 1992
The art of thought, | 2034 views | 1931
Mathematics for high school: Intermediate mathematics. Commentary for teachers. | 1992 views | 1960
Lee Konitz : conversations on the improviser's art / | 1986 views | 2007
Amulets and superstitions; the original texts with translations and descriptions of a long series of Egyptian, Sumerian, Assyrian, Hebrew, Christian, Gnostic and Muslim amulets and talismans and magical figures, with chapters on the evil eye, the origin of the amulet, the pentagon, the swastika, the cross (pagan and Christian), the properties of stones, rings, divination, numbers, the Kabbâlâh, ancient astrology, etc., bySir E. A. Wallis Budge ... | 1965 views | 1930
Twenty-five years, 1892-1916 / | 1919 views | 1925
The origin and development of Roman liturgical vestments. | 1893 views | 1934
The Victor book of the opera; stories of the operas, with illustrations and descriptions of Victor opera records. | 1885 views | 1936
The sources of soviet conduct, | 1879 views | 1947
Things I know about kings, celebrities, and crooks / | 1855 views | 1923
England and the Near East: The Crimea. | 1850 views | 1936
The reader over your shoulder ; a handbook for writers of English prose / | 1827 views | 1944
An introduction to projective geometry, | 1759 views | 1935
The O'Dwyers of Kilnamanagh; the history of an Irish sept, | 1733 views | 1933
The correspondence of King George the Third from 1760 to December 1783, | 1714 views | 1928
Exotic microlepidoptera. v. 1. | 1706 views | 9999
Mughal rule in India, | 1699 views | 1930
The early history of motoring ... with a preface | 1667 views | 1927
Monumental inscriptions and coats of arms from Cambridgeshire, | 1665 views | 1932
Materials for missiles and spacecraft | 1656 views | 1963
A guardsman's memories; a book of recollections, | 1648 views | 1932
Cooke's Peak - pasaron por aqui : a focus on United States history in southwestern New Mexico / | 1631 views | 1990
A modern introduction to logic, | 1609 views | 1930
Gülbün-i Hânân / | 1570 views | 1990
The correspondence of King George the Third from 1760 to December 1783, | 1567 views | 1928
History of the Guides, 1846-[1947] | 1562 views | 1950
An Englishwoman in Angora, | 1552 views | 1923
The armies of the first French Republic and the rise of the marshals of Napoleon I ... | 1552 views | 9999
Loyalties: Mesopotamia; a personal and historical record. | 1515 views | 1936
Chi è? Dizionario degli Italiani d'oggi. | 1462 views | 1957
A classified list of tulip names. | 1462 views | 1939
Town children through country eyes; a survey on evacuation 1940. | 1455 views | 1940
Farsça-Tr̈kçe sz̈lük / Farhang-i Fārsī-Turkī ; yazanlar, Ibrahim Olgun, Cemşit Drahşan. | 1454 views | 1363
Satirical and controversial medals of the reformation; the biceps or double-headed series. | 1445 views | 1927
The Crimson jester, Zapata of Mexico. | 1430 views | 1934
The register of baptisms, marriages & burials of the parish of Colyton, Devon, 1538-1837 ... | 1428 views | 1928
Encyclopedia of American Quaker genealogy. | 1424 views | 9999
Reminiscences / | 1419 views | 1923
Diksyunaryo-tesauro Pilipino-Ingles. Sa tulong ng maraming impormante. May mga sinónimó sa Pilipino, Tagalog, Bikol, Kapampangan, Hiligayaon, Ibanag, Ilukano, Bahasa Indonesia, Ivatan, Maranaw, Bahasa Melayu, Magindanaw, Pangasinan, Sibuhanon, Samar-Leyte, Tau Sug. Kabatiráng etimolóhiká, mga deribatibo at pahayag idyomátikó sa Pilipino, at mga omónimóg di-magkakasinónimó sa iba't ibang wika | 1409 views | 1972
The book of Barcaldine; three centuries in the West Highlands, | 1407 views | 1936
Northern Italy, from the Alps to Rome (Rome excepted) | 1405 views | 1924
An introduction to Fourier methods and the Laplace transformation | 1403 views | 1958
Catalogue of ... the famous library ... | 1385 views | 1938
The chronicles of the East India company, trading to China 1635-1834, | 1377 views | 1929
The Die-hards in the great war; a history of the Duke of Cambridge's own (Middlesex regiment) 1914-1919, | 1368 views | 1926
Journal of clinical orthodontics : JCO. | 1361 views | 1977
What cares the sea? | 1360 views | 1960
British documents on the origins of the war, 1898-1914. | 1351 views | 9999
Analecta bollandiana. | 1351 views | 9999
Reproduction of Thompson and West's history of Santa Barbara & Ventura Counties, California : with illustrations and biographical sketches of its prominent men and pioneers. | 1348 views | 1961
The Die-hards in the great war; a history of the Duke of Cambridge's own (Middlesex regiment) 1914-1919, | 1347 views | 1926
The chronicles of the East India company, trading to China 1635-1834, | 1343 views | 1929
The elements of aerofoil and airscrew theory, | 1343 views | 1926
Exotic microlepidoptera. v. 1. | 1340 views | 9999
The visitation of the county of Northampton in the year 1681; | 1339 views | 1935
Men at war : the best war stories of all time / | 1330 views | 1942
Under five sultans, | 1317 views | 1930
Decorative patterns of the ancient world, | 1310 views | 1930
Historical notes on some Somerset manors formerly connected with the honour of Dunster, | 1307 views | 1931
The makers of civilization in race & history, showing the rise of the Aryans or Sumerians, their origination & propagation of civilization, their extension of it to Egypt & Crete, personalities & achievements of their kings, historical originals of mythic gods & heroes with dates from the rise of civilization about 3380 B. C. reconstructed from Babylonian, Eqyptian, Hittite, Indian & Gothic sources, | 1305 views | 1929
Proceedings before the justices of the peace in the fourteenth and fifteenth centuries, Edward III to Richard III. | 1303 views | 1938
The Victorian sage; studies in argument. | 1294 views | 1962
Incunabula, humanists, reformation tracts, from the library of Willibald Pirckheimer and other sources. | 1288 views | 1939
Historical register of Virginians in the revolution: soldiers, sailors, marines, 1775-1783, | 1282 views | 1938
The history of the violin; its ancestors and collateral instruments from earliest times to the present day, | 1279 views | 1933
Satirical and controversial medals of the reformation; the biceps or double-headed series. | 1275 views | 1927
British documents on the origins of the war, 1898-1914. | 1273 views | 9999
The pirate wind; tales of the sea-robbers of Malaya, | 1258 views | 1930
Tonindustrie-Zeitung und Keramische Rundschau. | 1254 views | 1961
Easy methods for the construction of magic squares / | 1250 views | 1936
Deutsches Geschlechterbuch (Genealogishes Handbuch Burgerlicher Familien) | 1231 views | 9999
World war records : First division, A.E.F., regular. | 1228 views | 1928
A revised history of the 33rd Alabama Volunteer Infantry Regiment : in Cleburne's Elite Division, Army of Tennessee, 1862-1865 / | 1224 views | 1998
The management of college and university archives / | 1220 views | 1992
The Paston letters. | 1210 views | 1924
Chi è? Dizionario degli Italiani d'oggi. | 1207 views | 1957
Meiroku zasshi. Journal of the Japanese enlightenment. | 1187 views | 1875
Macedonia, Thrace and Illyria; their relations to Greece from the earliest times down to the time of Philip son of Amyntas, | 1185 views | 1926
Uwar miji ko kishiya? / | 1183 views | 9999
Armorial families, | 1171 views | 1929
The lyfe of Sir Thomas Moore, knighte | 1171 views | 1935
Founders of early American families : emigrants from Europe, 1607-1657 / | 1164 views | 1975
Early railway pamphlets, 1825-1900. | 1162 views | 1938
Turkey. | 1161 views | 1942
Aeronautical and miscellaneous note-book (ca. 1799-1826) of Sir George Cayley ; | 1158 views | 1933
Far wandering men, | 1157 views | 1929
Yellow leaves : memories of a long life / | 1140 views | 1933
The seventeenth Earl of Oxford, 1550-1604, | 1134 views | 1928
Air transport manual; a handbook of concise, practical and up-to-date information for all who are interested in the prospects of air-transport development in Great Britain. | 1128 views | 1933
Practical orthoptics in the treatment of squint, including heterophoria, paralytic squint and ocular torticollis, | 1123 views | 1941
Regulation of stock ownership in railroads. | 1123 views | 1931
The Madan family and Maddens in Ireland and England; | 1122 views | 1933
My experiences in the world war, | 1119 views | 1931
The Bryant and May Museum of Fire-making Appliances : catalogue of the exhibits / | 1093 views | 1926
Schooldays with Kipling, | 1092 views | 1936
National Head Start S.T.E.P. teacher's manual / | 1078 views | 2002
al-Haqāʾiq. | 1077 views | 9999
Madame Tussaud's exhibition : official guide & catalogue. | 1075 views | 1932
The Holy Grail, | 1071 views | 1933
Collected papers (Note e memorie) | 1070 views | 1965
The myth of the mystic East, | 1064 views | 1934
Roster of the Confederate soldiers of Georgia, 1861-1865 / | 1061 views | 9999
Calendar of inquisitions post mortem and other analogous documents preserved in the Public Record Office / | 1059 views | 9999
Read with speed and precision. | 1059 views | 1963
The story of Zahra / | 1055 views | 1986
Kommentar zum Neuen Testament aus Talmud und Midrasch, | 1050 views | 1922
Codicis iuris canonici fontes | 1050 views | 1939
Final report of the Standing Committee on Performance. | 1044 views | 1953
The Thorne Smith 3-decker | 1042 views | 1933
