Top 2000 HathiTrust Open Titles, May 2014-May 2017


Title |  Uses | Publication Date
——————————————————————————————————


Quicksand, | 823739 views | 1928
The surnames of Scotland, their origin meaning and history / | 619250 views | 1962
Solid mensuration, | 452809 views | 1934
The human figure / | 348795 views | 1907
America is in the heart, a personal history, | 326990 views | 1946
Godey's magazine. | 311573 views | 1850
Roster of the Confederate soldiers of Georgia, 1861-1865 / | 285162 views | 9999
Roster of the Confederate soldiers of Georgia, 1861-1865 / | 272719 views | 9999
Roster of the Confederate soldiers of Georgia, 1861-1865 / | 238820 views | 9999
History of wages in the United States from Colonial times to 1928. | 238199 views | 1934
Roster of the Confederate soldiers of Georgia, 1861-1865 / | 235141 views | 9999
Return to life through contrology, | 232004 views | 1960
Modern California houses; case study houses, 1945-1962. | 231494 views | 1962
Roster of the Confederate soldiers of Georgia, 1861-1865 / | 216575 views | 9999
The five laws of library science, | 210452 views | 1931
Perfume and flavor materials of natural origin. | 191717 views | 1960
Quintus Curtius [History of Alexander] | 189225 views | 1946
The book of a hundred hands. | 178996 views | 1920
The lesson of Japanese architecture. | 175843 views | 1954
Propaganda technique in the World War | 162018 views | 1938
Pennsylvania German pioneers; a publication of the original lists of arrivals in the port of Philadelphia from 1727 to 1808, | 145339 views | 1934
Consumption of the lungs and kindred diseases, treated and cured by kerosene; its value as a remedy, when to use it, how to use it, a cure for the sick, a protection for those in health, | 142722 views | 1914
A short guide to New Zealand. | 135365 views | 1943
Colorado brand book, 1962. | 134170 views | 1963
Advanced accounts; a manual of advanced book-keeping and accountancy for accountants, book-keepers, and business men, | 130010 views | 1915
Investigation of Korean-American relations : Report of the Subcommittee on International Organizations of the Committee on International Relations, U.S. House of Representatives, October 31, 1978. | 125752 views | 1978
Quintus Curtius [History of Alexander] | 117308 views | 1946
The blacker the berry: a novel of negro life, | 116342 views | 1929
Kinematics and dynamics of plane mechanisms. | 109661 views | 1962
Carolingian chronicles: Royal Frankish annals and Nithard's Histories. | 108186 views | 1972
The lion monument at Amphipolis, | 105098 views | 1941
Heroes and kings: stories from the Greek/ | 101901 views | 1883
Encyclopedia of American Quaker genealogy, | 97478 views | 9999
Coffee processing technology, by Michael Sivetz and H. Elliott Foote. | 96636 views | 1963
Circuit analysis of A-C power systems; symmetrical and related components. | 94936 views | 1950
Architecture and furniture: Aalto. | 93720 views | 1938
Industrial instrumentation. | 91310 views | 1950
Basic marketing, a managerial approach. | 90704 views | 1960
Building code requirements for reinforced concrete (ACI 318-63) / | 90316 views | 1963
Time-harmonic electromagnetic fields. | 88098 views | 1961
Sexti Pompei Festi De verborum significatu quae supersunt cum Pauli epitome; | 87589 views | 1913
Priscilla wool crochet book: | 85471 views | 1912
Elementary introduction to nuclear reactor physics. | 84350 views | 1960
Descendants of Governor William Bradford (through the first seven generations) / | 81237 views | 1951
The mistress of the inn (La locandiera) | 80778 views | 1912
The magistrates of the Roman Republic / | 80499 views | 1952
The conjure-man dies : a mystery tale of dark Harlem / | 80176 views | 1992
Godey's magazine. | 79748 views | 1863
Two treatises on government. | 78970 views | 1821
